Description,Total_Revenue,Units_Sold,Order_Count
REGENCY CAKESTAND 3 TIER,286486.3,24899,3317
WHITE HANGING HEART T-LIGHT HOLDER,252072.46,93640,4888
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
Manual,152340.57,9803,620
JUMBO BAG RED RETROSPOT,136980.08,75759,2612
ASSORTED COLOUR BIRD ORNAMENT,127074.17,79913,2652
POSTAGE,126563.04,5333,1803
PARTY BUNTING,103880.23000000001,23607,2077
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
PAPER CHAIN KIT 50'S CHRISTMAS,79594.33,29477,1691
